Student,Race,Homework #1 (252169),Homework #2 (252171),Homework #3 (252172),Homework #4 (252173),Homework #5 (252174),Homework #6 (252175),Homework #7 (252176),Homework #8 (252177),Homework #9 (252178),Homework #10 (252170),Quiz #1 (252122),Quiz #2 (252126),Quiz #3 (252141),Midterm #1 (252158),Midterm #1 Take-Home (252180),Midterm #2 (252131),Midterm #2 Take-Home (252181),Final Exam (252143),Final Exam Written Portion (252168),Journal #1 (252120),Journal #2 (252133),Journal #3 (252130),Journal #4 (252135),Journal #5 (252145),Journal #6 (252165),Journal #7 (252140),Journal #8 (252139),Journal #9 (252128),Journal #10 (252124),Journal #11 (252142),Individual Project Paper + PowerPoint (252179),Homework Final Score,Quizzes Final Score,Midterms Final Score,Final Exam Final Score,Journals Final Score,Project Final Score,Final Score,Final Grade
Student 88,caucasian,8,9.5,9,9,8.5,9,9,9,9,6.5,16,19,20,20,19.75,19,20,19,21.5,3,3,3,3,3,3,3,3,3,3,2,100,88.89,97.5,78.75,81,100,100,86.4,B
Student 89,caucasian,9.5,10,8.5,9,7.5,9.5,9.5,9,8.5,7.5,20,18.5,15,22,24.75,20,21.5,21,22,3,3,3,3,3,3,3,3,3,3,3,100,90,96.25,88.25,86,100,100,90.6,A-
Student 90,hispanic/latinx,9,9,10,6.5,9,9,8,9.5,9.5,9.5,9,17,16,19,23,15,12.5,15,18,3,3,3,3,3,3,3,3,3,3,3,100,91.67,82.5,69.5,66,100,100,78.93,C+
Student 91,hispanic/latinx,10,10,10,8,9.5,10,7.5,8,8,4,18,18,12.5,22,17.5,19,14.75,19,5,3,3,3,3,3,3,3,3,3,3,3,100,90,90,73.25,48,100,100,75.98,C
Student 92,caucasian,9,8.5,8,9,8,9.5,8,8,9.5,8.5,18,20,10,19,23.5,18,21.25,21,22,3,3,3,3,3,3,3,3,3,3,3,100,86.67,95,81.75,86,100,100,87.86,B+
Student 93,hispanic/latinx,8.5,6.5,8,9,9.5,7.5,7.5,8,8,0,20,20,20,22,20,17,20,14,8,3,3,3,3,3,3,3,3,3,3,0,100,80.56,100,79,44,100,100,75.81,C
Student 94,black,8,8.5,8.5,9.5,10,9.5,9,9,9,7,20,19,15.5,24,22.25,22,23,14,23,3,3,3,3,3,3,3,3,3,3,3,100,90,97.5,91.25,74,100,100,88.63,B+
Student 95,asian,9.5,10,10,10,9.5,10,8.5,10,9,7,20,18.5,16.5,19,22.5,19,23.25,18,23.5,3,3,3,3,3,3,3,3,3,3,3,100,96.11,96.25,83.75,83,100,100,89.72,B+
Student 96,caucasian,10,10,9,10,10,9,8.5,9,10,8.5,20,19,18,25,21.5,20,19,21,22.5,3,3,3,3,3,3,3,3,3,0,3,100,95,97.5,85.5,87,100,100,91.15,A-
Student 97,hispanic/latinx,9,6,10,8,9,9,7,8,8,8,16,17.5,20,22,23.75,17,23,17,17.5,3,3,3,3,3,3,3,3,3,3,3,100,84.44,93.75,85.75,69,100,100,84.24,B
Student 98,hispanic/latinx,8.5,9,8.5,9,8,9.5,8.5,9,9,6,18,14.5,17,19,18.25,23,17.5,20,17.5,3,3,3,3,3,3,3,3,3,3,3,97,87.78,87.5,77.75,75,100,97,83.08,B
Student 99,caucasian,10,7,8,9.5,10,10,9,9,10,10,20,19,19,25,25,24,24,21,24,3,2,3,3,3,3,3,3,3,3,3,100,95,97.5,98,90,100,100,95.65,A
Student 100,hispanic/latinx,9.5,8.5,8.5,8,9.5,10,8.5,9,9,7,20,17,19,25,24,16,24.25,20,24,3,3,3,3,3,3,3,3,3,3,3,100,89.44,97.5,89.25,88,100,100,91.41,A-
Student 101,caucasian,8.5,9.5,8.5,9,8,9,9,8.5,7,7.5,16,18,11.5,18,22.25,20,17.75,21,19,3,3,3,3,3,3,3,3,3,3,3,98,86.11,85,78,80,100,98,83.92,B
Student 102,caucasian,10,9,8.5,10,10,10,9.5,9,9,7.5,20,19,16.5,22,22.25,21,17,18,25,3,3,3,3,3,3,3,3,3,3,3,95,94.44,97.5,82.25,86,100,95,89.31,B+
Student 103,caucasian,10,9.5,9,10,8.5,10,9,10,10,7,19,19,16,24,24.5,18,26.5,22,23.5,3,3,3,3,3,3,3,3,3,3,3,100,95.56,95,93,91,100,100,94.26,A
Student 104,hispanic/latinx,8,8.5,10,9,7.5,9.5,8.5,10,8,8.5,18,19,16.5,22,21.75,19,18,21,21,3,3,3,3,3,3,3,3,3,3,3,98,88.89,92.5,80.75,84,100,98,87.05,B+
Student 105,hispanic/latinx,10,10,10,10,9.5,10,9,9,10,9.5,19,19,18,20,25,22,25,21,16,3,3,3,3,3,3,3,3,3,3,3,100,97.78,95,92,74,100,100,90.16,A-
